id,pr_codigo,sede_id,ot_id,origen,estado,prioridad,observaciones,solicitado_por,aprobado_por,aprobado_at,created_at,updated_at
"0b7451d8-e014-3d43-e5ac-4e4a7d96bf94","SIC/2026/00024","6d53c4eb-4680-dc26-d8fb-cd95b95aa4e0",,"manual","procesada","baja",,"11111111-1111-1111-1111-111111111111",,"2026-05-21 22:28:33","2026-05-13 23:37:43.771794+00","2026-05-21 22:28:53.997875+00"
"91092275-477e-143c-994d-2ab83d4549b0","SIC/2026/00026","80abbc6b-5d67-82e7-73a5-9309270dbcab",,"manual","procesada","baja","ACEITE CILINDROS Y RAF 12 REFRIGERANTE","11111111-1111-1111-1111-111111111111",,"2026-05-18 17:56:42","2026-05-16 21:58:52.408652+00","2026-05-18 21:11:36.68339+00"
"bd419d5e-ad93-259f-8c76-f7bd81390bc9","SIC/2026/00028","4a9363c5-360c-d284-bca0-40867a6d34c2",,"manual","procesada","baja",,"11111111-1111-1111-1111-111111111111",,"2026-05-22 21:31:04","2026-05-18 22:42:50.536065+00","2026-05-22 21:31:21.702491+00"
"8e6671b7-e877-4704-fe75-7395175c877f","SIC/2026/00029","4a9363c5-360c-d284-bca0-40867a6d34c2",,"manual","pendiente_aprobacion","baja",,"11111111-1111-1111-1111-111111111111",,,"2026-05-18 23:16:16.378435+00","2026-06-01 19:50:21.350541+00"
"32c6135f-9e49-e9c3-18d1-188faa1dd0b9","SIC/2026/00030","80abbc6b-5d67-82e7-73a5-9309270dbcab",,"manual","borrador","baja","FILTRO DE ACEITE Y ELEMENTO","11111111-1111-1111-1111-111111111111",,,"2026-05-22 21:03:13.278548+00","2026-06-03 23:11:59.465964+00"
"aa53ac77-e75a-d1e7-8e34-6a5a236ff13a","SIC/2026/00032","4a9363c5-360c-d284-bca0-40867a6d34c2",,"manual","pendiente_aprobacion","baja",,"11111111-1111-1111-1111-111111111111",,"2026-06-01 16:30:03","2026-05-27 19:43:02.577853+00","2026-06-01 16:30:03.814847+00"
"d2692a9a-cd38-6c63-7ca8-41f0832627e1","SIC/2026/00035","4a9363c5-360c-d284-bca0-40867a6d34c2",,"manual","borrador","baja",,"11111111-1111-1111-1111-111111111111",,"2026-06-08 18:59:29","2026-05-28 14:48:25.932874+00","2026-06-10 00:06:12.668117+00"
"37807e62-9f16-3139-1a4a-54445e9c9d6c","SIC/2026/00038","80abbc6b-5d67-82e7-73a5-9309270dbcab",,"manual","pendiente_aprobacion","baja","CILINDRO ACEITE","11111111-1111-1111-1111-111111111111",,,"2026-06-04 00:11:24.151996+00","2026-06-04 00:15:43.44005+00"
"405b3cfb-3cc9-63a2-2484-767d16505faa","SIC/2026/00040","4a9363c5-360c-d284-bca0-40867a6d34c2",,"manual","pendiente_aprobacion","baja",,"11111111-1111-1111-1111-111111111111",,,"2026-06-09 21:51:37.567772+00","2026-06-10 15:02:42.331246+00"
"4c73910b-f757-fb0d-8942-08329071b96f","SIC/2026/00041","80abbc6b-5d67-82e7-73a5-9309270dbcab",,"manual","borrador","baja",,"11111111-1111-1111-1111-111111111111",,,"2026-06-13 22:52:48.911063+00","2026-06-13 23:08:20.964278+00"
"fcefc3c9-e182-369b-91b6-4b10578ede5d","SIC/2026/00042","4a9363c5-360c-d284-bca0-40867a6d34c2",,"manual","borrador","baja",,"11111111-1111-1111-1111-111111111111",,,"2026-06-18 21:14:42.099867+00","2026-06-18 21:14:42.099867+00"
